workflow,dataset,perturbation,sensitivity,monotonicity,paired_detectability,mean_shift_detectability,edit_distance_validation,paired_edit_distance_validation,robustness_cv,ranking_stability_tau,relative_runtime,interpretability_score,granularity_label
diversity_curves_shortest_path,barabasi_albert,community_weakening,0.9631106275635355,0.1,0.9640854836344045,0.9631106275635355,0.9604520474630254,0.9615348466850286,0.03829286300415826,1.0,123.8089248891605,3,mesoscopic
diversity_curves_shortest_path,barabasi_albert,edge_deletion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9914270236401371,0.9914785855078516,0.002528547364535061,1.0,110.66351332263278,3,local
diversity_curves_shortest_path,barabasi_albert,edge_insertion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9947289412194706,0.9946786847154958,0.011448063302713772,1.0,132.7740619935738,3,local
diversity_curves_shortest_path,barabasi_albert,hub_modification,0.8765671558642291,0.1,0.8770388765788133,0.8765671558642291,0.9011301961117076,0.901826655396254,0.05002414723598799,1.0,121.39461375739447,3,global
diversity_curves_shortest_path,barabasi_albert,triangle_deletion,0.8957397106356257,0.0,0.8962271580784812,0.8957397106356257,0.9812541367007437,0.9807861265337614,0.022083987773400385,0.8260869565217391,115.44714074693623,3,local/mesoscopic
diversity_curves_shortest_path,barabasi_albert,triangle_insertion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9951969141201195,0.9950539767906326,0.011831663783482792,1.0,132.87189835863316,3,local/mesoscopic
diversity_curves_shortest_path,erdos_renyi,community_weakening,0.434314103057156,0.4,0.7492240609178729,0.434314103057156,0.4272612163379325,0.7345236075032306,0.38320518169982587,0.9033816425120773,147.0658059971717,3,mesoscopic
diversity_curves_shortest_path,erdos_renyi,edge_deletion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9911339694805956,0.9911979323038363,0.003809938442780541,1.0,132.64496678952048,3,local
diversity_curves_shortest_path,erdos_renyi,edge_insertion,0.9948248968368062,0.0,0.994589044561596,0.9948248968368062,0.9866846371741484,0.9863556855117677,0.026605148871771896,1.0,168.7503887243278,3,local
diversity_curves_shortest_path,erdos_renyi,hub_modification,0.4188868957837687,0.0,0.5916158154906631,0.4188868957837687,0.36003559982970584,0.5937557950933352,0.5595230094853146,0.9033816425120773,146.7459147974908,3,global
diversity_curves_shortest_path,erdos_renyi,triangle_deletion,0.9303275933030114,0.0,0.9301703530648167,0.9303275933030114,0.9682474617094257,0.9689328246417347,0.028791843495603812,1.0,139.039520450433,3,local/mesoscopic
diversity_curves_shortest_path,erdos_renyi,triangle_insertion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9902828723223724,0.9903487931912226,0.008222266148489785,1.0,163.89694934290873,3,local/mesoscopic
diversity_curves_shortest_path,stochastic_block_model,community_weakening,0.5851494947966136,0.1,0.8403102096040689,0.5851494947966136,0.5919041340869633,0.8370494863393684,0.13987723493149967,1.0,137.7319309204484,3,mesoscopic
diversity_curves_shortest_path,stochastic_block_model,edge_deletion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9913656715443757,0.9913271633140573,0.0034937479287861077,1.0,121.62845332031318,3,local
diversity_curves_shortest_path,stochastic_block_model,edge_insertion,0.9933311657604746,0.0,0.9931424839403065,0.9933311657604746,0.9853055203832547,0.9850509744540314,0.027699649802363963,1.0,147.7298190630153,3,local
diversity_curves_shortest_path,stochastic_block_model,hub_modification,0.42941460624874395,0.1,0.6303255035304266,0.42941460624874395,0.6440243855855632,0.5851107279664716,0.3444140559458155,0.9722222222222221,135.2277031052339,3,global
diversity_curves_shortest_path,stochastic_block_model,triangle_deletion,0.925060951041768,0.0,0.9249037106496206,0.925060951041768,0.9708785456178463,0.9708922529033338,0.02999215639264956,1.0,127.39060907135737,3,local/mesoscopic
diversity_curves_shortest_path,stochastic_block_model,triangle_insertion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9887549440651636,0.9886831490594853,0.010014363651371287,1.0,145.19536041088625,3,local/mesoscopic
native_netlsd,barabasi_albert,community_weakening,0.959635737375438,0.1,0.960704934356391,0.959635737375438,0.9571905961596198,0.9583308313861656,0.04990007119205023,1.0,187.8483459677296,2,mesoscopic
native_netlsd,barabasi_albert,edge_deletion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9921319200595244,0.9921560692887071,0.0031134420411886646,1.0,182.86520726993658,2,local
