workflow,dataset,perturbation,sensitivity,monotonicity,paired_detectability,mean_shift_detectability,robustness_cv,ranking_stability_tau,relative_runtime,interpretability_score,granularity_label
diversity_curves_l2,barabasi_albert,edge_addition_deletion,0.9942094243113789,0.0,0.9942094243113789,0.9942094243113789,0.02278606229241036,1.0,2.4506288424285,3,local
diversity_curves_l2,barabasi_albert,hub_modification,0.814783155961023,0.2,0.8383527621637228,0.814783155961023,0.03711068660709777,1.0,2.4322358553398638,3,global
diversity_curves_l2,barabasi_albert,triangle_injection_removal,0.9884122848110211,0.0,0.987325321154704,0.9884122848110211,0.029362269857792805,1.0,2.450707891299191,3,local/mesoscopic
diversity_curves_l2,erdos_renyi,edge_addition_deletion,0.2949294720807079,0.3,0.875368064554042,0.2949294720807079,0.529255976046151,1.0,2.7905916362461154,3,local
diversity_curves_l2,erdos_renyi,hub_modification,0.29060482397223547,0.1,0.5924988077729663,0.29060482397223547,0.3376125036737329,0.7333333333333333,2.773417765362398,3,global
diversity_curves_l2,erdos_renyi,triangle_injection_removal,0.9014551923056526,0.2,0.9626874782781829,0.9014551923056526,0.17988414446459158,1.0,2.7791783435202717,3,local/mesoscopic
diversity_curves_l2,stochastic_block_model,community_weakening,0.802541499580796,0.2,0.822106845394504,0.802541499580796,0.06825697501580597,1.0,2.571331701931538,3,mesoscopic
diversity_curves_l2,stochastic_block_model,edge_addition_deletion,0.9554410539027355,0.0,0.9735571148413539,0.9554410539027355,0.07289964217952294,0.6,2.5675274920542526,3,local
diversity_curves_l2,stochastic_block_model,hub_modification,0.4897984295251893,0.1,0.5218328121325596,0.4897984295251893,0.06631529473621489,1.0,2.552644632817555,3,global
diversity_curves_l2,stochastic_block_model,triangle_injection_removal,0.8710202099287736,0.2,0.9554410539027355,0.8710202099287736,0.08566843766435848,1.0,2.542330424812779,3,local/mesoscopic
structural_statistics_mmd,barabasi_albert,edge_addition_deletion,0.9894992484673382,0.0,0.9920354969987447,0.9927601394362895,0.1107675239427431,1.0,8.509201225083332,3,local
structural_statistics_mmd,barabasi_albert,hub_modification,0.725581261716959,0.2,0.6273141343180105,0.6207871664464937,0.07527021833217987,1.0,8.502905365939457,3,global
structural_statistics_mmd,barabasi_albert,triangle_injection_removal,0.9902238909048828,0.0,0.9898615696861105,0.9811658604355736,0.04829678844367054,1.0,8.522954878875302,3,local/mesoscopic
structural_statistics_mmd,erdos_renyi,edge_addition_deletion,0.3771763887420355,0.1,0.926455356400946,0.364857467303775,0.6584759158493295,1.0,8.441519319670425,3,local
structural_statistics_mmd,erdos_renyi,hub_modification,0.6394762793173502,0.0,0.7057545725040004,0.6602337667439384,0.3415447953509516,0.7333333333333333,8.451943568825957,3,global
structural_statistics_mmd,erdos_renyi,triangle_injection_removal,0.9815281816543461,0.0,0.987325321154704,0.984426751404525,0.1401937650801164,1.0,8.387425280299833,3,local/mesoscopic
structural_statistics_mmd,stochastic_block_model,community_weakening,0.8608752158031473,0.1,0.9014551923056526,0.8793535979605381,0.1637894869567609,1.0,8.306905631765925,3,mesoscopic
structural_statistics_mmd,stochastic_block_model,edge_addition_deletion,0.9655860480283618,0.0,0.9793542543417119,0.97754264824785,0.1592975009143296,0.6,8.395299017982339,3,local
structural_statistics_mmd,stochastic_block_model,hub_modification,0.4177210686586063,0.1,0.5185565684568058,0.4097124730067637,0.12535475340858176,1.0,8.346073460384469,3,global
structural_statistics_mmd,stochastic_block_model,triangle_injection_removal,0.9630497994969552,0.0,0.9797165755604842,0.9637744419345,0.21468005115761604,1.0,8.37053547398968,3,local/mesoscopic
wl_subtree_kernel_mmd,barabasi_albert,edge_addition_deletion,0.9931224606550618,0.0,0.992397818217517,0.9931224606550618,0.02086887435110871,1.0,1.0,2,local
wl_subtree_kernel_mmd,barabasi_albert,hub_modification,0.8492310419495842,0.0,0.8673615082593533,0.8492310419495842,0.020725900619896077,1.0,1.0,2,global
wl_subtree_kernel_mmd,barabasi_albert,triangle_injection_removal,0.992397818217517,0.0,0.9920354969987447,0.992397818217517,0.040088834900992465,1.0,1.0,2,local/mesoscopic
wl_subtree_kernel_mmd,erdos_renyi,edge_addition_deletion,0.6068880414437171,0.4,0.8485562943648868,0.6068880414437171,0.3060459307576804,1.0,1.0,2,local
wl_subtree_kernel_mmd,erdos_renyi,hub_modification,0.5841229795131149,0.0,0.6409329451016722,0.5841229795131149,0.21766217357144943,0.7333333333333333,1.0,2,global
wl_subtree_kernel_mmd,erdos_renyi,triangle_injection_removal,0.9279046412760354,0.1,0.943122132464475,0.9279046412760354,0.19689317510411936,1.0,1.0,2,local/mesoscopic
wl_subtree_kernel_mmd,stochastic_block_model,community_weakening,0.5764530590668382,0.4,0.8264547000197724,0.5764530590668382,0.16256412893672226,1.0,1.0,2,mesoscopic
wl_subtree_kernel_mmd,stochastic_block_model,edge_addition_deletion,0.6123228597253026,0.3,0.8789912767417658,0.6123228597253026,0.3133924523277074,0.6,1.0,2,local
wl_subtree_kernel_mmd,stochastic_block_model,hub_modification,0.48725023999960304,0.2,0.6193920682550054,0.48725023999960304,0.11705758601320476,1.0,1.0,2,global
wl_subtree_kernel_mmd,stochastic_block_model,triangle_injection_removal,0.9565280175590526,0.0,0.9394989202767513,0.9565280175590526,0.19519782268678332,1.0,1.0,2,local/mesoscopic
