workflow,sensitivity_label,monotonicity_label,paired_label,mean_shift_label,granularity_label,robustness_label,efficiency_label,interpretability_label
diversity_curves_shortest_path,High,Very high,High,Duplicate,multiscale,Very high,Low,Very high
native_netlsd,High,Very high,High,Duplicate,multiscale,Very high,Low,High
structural_statistics_mmd,High,Very high,High,High,multiscale,Very high,Very high,Very high
wl_subtree_kernel_mmd,High,Very high,High,High,multiscale,Very high,High,High
