workflow,dataset,perturbation,sensitivity,monotonicity,paired_detectability,mean_shift_detectability,robustness_cv,ranking_stability_tau,relative_runtime,interpretability_score,granularity_label
structural_statistics_mmd,barabasi_albert,triangle_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local/mesoscopic
structural_statistics_mmd,barabasi_albert,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local/mesoscopic
structural_statistics_mmd,erdos_renyi,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local
structural_statistics_mmd,erdos_renyi,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local
structural_statistics_mmd,erdos_renyi,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.0,0.0,1.0,1.0,3,global
structural_statistics_mmd,erdos_renyi,triangle_deletion,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,local/mesoscopic
structural_statistics_mmd,erdos_renyi,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local/mesoscopic
structural_statistics_mmd,stochastic_block_model,community_weakening,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,mesoscopic
structural_statistics_mmd,stochastic_block_model,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local
structural_statistics_mmd,stochastic_block_model,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local
structural_statistics_mmd,stochastic_block_model,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,1.0,3,global
structural_statistics_mmd,stochastic_block_model,triangle_deletion,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,local/mesoscopic
structural_statistics_mmd,stochastic_block_model,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local/mesoscopic
wl_subtree_kernel_mmd,barabasi_albert,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.8169289015271708,2,local
wl_subtree_kernel_mmd,barabasi_albert,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.6048680171055227,2,local
wl_subtree_kernel_mmd,barabasi_albert,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,1.9084456592757295,2,global
wl_subtree_kernel_mmd,barabasi_albert,triangle_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.7545254541619837,2,local/mesoscopic
wl_subtree_kernel_mmd,barabasi_albert,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.4858966320047404,2,local/mesoscopic
wl_subtree_kernel_mmd,erdos_renyi,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.6600967756070961,2,local
wl_subtree_kernel_mmd,erdos_renyi,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.9446953576647559,2,local
wl_subtree_kernel_mmd,erdos_renyi,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,1.642497996371829,2,global
wl_subtree_kernel_mmd,erdos_renyi,triangle_deletion,0.0,0.0,0.0,0.0,0.0,1.0,1.45649865372199,2,local/mesoscopic
wl_subtree_kernel_mmd,erdos_renyi,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.6819162448317275,2,local/mesoscopic
wl_subtree_kernel_mmd,stochastic_block_model,community_weakening,0.4999999999999999,0.5,0.4999999999999999,0.4999999999999999,0.0,1.0,1.7186650999821058,2,mesoscopic
wl_subtree_kernel_mmd,stochastic_block_model,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.5518579427517973,2,local
wl_subtree_kernel_mmd,stochastic_block_model,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.7852202589729333,2,local
wl_subtree_kernel_mmd,stochastic_block_model,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,1.6909195398863373,2,global
wl_subtree_kernel_mmd,stochastic_block_model,triangle_deletion,0.0,0.0,0.0,0.0,0.0,1.0,1.6379778765804662,2,local/mesoscopic
wl_subtree_kernel_mmd,stochastic_block_model,triangle_insertion,0.8660254037844387,0.0,0.9999999999999998,0.8660254037844387,0.0,1.0,1.6374516019558427,2,local/mesoscopic
