workflow,sensitivity_label,monotonicity_label,paired_label,mean_shift_label,granularity_label,robustness_label,efficiency_label,interpretability_label
diversity_curves_shortest_path,High,Very high,Very high,Duplicate,multiscale,High,Low,Very high
native_netlsd,High,Very high,Very high,Duplicate,multiscale,Very high,Low,High
structural_statistics_mmd,Medium,Medium,High,High,global/local,High,Low,Very high
wl_subtree_kernel_mmd,High,Very high,Very high,High,multiscale,Very high,Very high,High
